# live_dump_manifest.tsv — VPS operational-CSV staleness manifest (S-2026-07-02)
#
# The live VPS binary writes load-bearing operational CSVs to C:\Omega\logs via
# set_live_dump(). NONE are pulled to the Mac, and the Mac-side feeds self-test
# structurally cannot see them — so a VPS writer can die and every Mac freshness
# banner stays GREEN. This manifest is the single source of truth for WHICH live
# dumps are cadence-monitorable and their max age; tools/feeds_selftest.py polls
# the VPS (one `ssh omega-vps` batched call) against it, and the build-gate
# tools/live_dump_freshness_audit.sh fails if a NEW set_live_dump() path is not
# listed here (so an unmonitored live dump cannot be committed).
#
# ONLY deterministic-cadence dumps belong here. Event-driven files
# (omega_trade_closes.csv / tod / fill / day_results) have NO fixed cadence and
# are therefore NOT cadence-monitorable — excluded BY DESIGN.
#
# Columns (tab-separated):  path_under_logs  max_age_min  description
gold_regime_h1.csv	120	hourly gold long-only regime gate
gold_d1_trend_h4.csv	300	4h gold direction gate + fire-on-boot seed
index_mkt_regime_h1.csv	120	hourly index risk-off gate
# staleness audit 2026-07-08: daily VPS producers previously unmonitored. Paths are
# joined to C:\Omega\logs on the VPS, so ..\ escapes to C:\Omega for non-log outputs.
# macro gate FAILS SAFE stale (MacroGoldGate 36h -> price core) — alert at 26h so a dead
# producer is known a day before the engine silently reverts.
macro/macro_gold_gate.tsv	1560	daily macro hostile-regime gate producer (OmegaMacroGoldGate 23:00 UTC; engine fails safe at 36h)
../data/rdagent/sp500_long_close.csv	1560	bigcap stockmover daily close feed (OmegaStockMoverFeed; mimic ladder goes blind-quiet if dead)
# S-2026-07-14 latent-class sweep P1-1: these two producers existed UNSCHEDULED since
# birth — gates ran permanently inert on stale files (engines degrade to ungated/risk-on
# past 4d, so nothing halted). Alert at 26h = producer death known ~3d before gate dies.
../data/index_regime.txt	1560	daily index macro risk-off gate feed (OmegaMacroRegime 21:30 UTC; IndexRiskGate fails safe risk-on at 4d)
../data/vix_term_ratio.txt	1560	daily VIX term-structure gate feed (OmegaMacroRegime 21:30 UTC; 6 IndexSeasonal engines degrade to UNGATED at 4d)
